Date,Hash_Rate
2021-02-15,158760930.78544855
2021-02-14,167285007.6061438
2021-02-13,151302363.56734022
2021-02-12,137450738.7337105
2021-02-11,152367873.16992718
2021-02-10,152367873.16992718
2021-02-09,172612555.6190783
2021-02-08,166219498.0035569
2021-02-07,169021265.50315762
2021-02-06,174939225.83110696
2021-02-05,165622935.69808948
2021-02-04,155271502.21695888
2021-02-03,157341788.913185
2021-02-02,124217201.7735671
2021-02-01,124217201.7735671
2021-01-31,140779495.343
2021-01-30,157341788.913
2021-01-29,150095785.476
2021-01-28,146990355.432
2021-01-27,166658079.046
2021-01-26,144920068.736
2021-01-25,143884925.388
2021-01-24,159781151.232
2021-01-23,145464845.48
2021-01-22,132147641.316
2021-01-21,144440445.16
2021-01-20,152635647.722
2021-01-19,148538046.441
2021-01-18,136245242.597
2021-01-17,150586847.081
2021-01-16,158782049.644
2021-01-15,150586847.081
2021-01-14,155708848.683
2021-01-13,151611247.402
2021-01-12,157757649.323
2021-01-11,162879650.925
2021-01-10,133808024.522
2021-01-09,136839436.244
2021-01-08,155331251.953
2021-01-07,163652569.022
2021-01-06,145160753.313
2021-01-05,159954205.88
2021-01-04,146085344.098
2021-01-03,139613208.6
2021-01-02,137764027.029
2021-01-01,153482070.382
2020-12-31,159029615.094
2020-12-30,140537799.386
2020-12-29,147938033.997
2020-12-28,137358668.734
2020-12-27,127149578.49
2020-12-26,133646272.282
2020-12-25,116940488.247
2020-12-24,142927263.413
2020-12-23,132718173.169
2020-12-22,126221479.377
2020-12-21,140142966.073
2020-12-20,146639659.865
2020-12-19,145711560.752
2020-12-18,119724785.586
2020-12-17,132718173.169
2020-12-16,129933875.83
2020-12-15,134574371.395
2020-12-14,148463110.111
2020-12-13,125704567.125
2020-12-12,131418411.085
2020-12-11,123799952.471
2020-12-10,132370718.412
2020-12-09,137132255.045
2020-12-08,142846099.005
2020-12-07,129513796.431
2020-12-06,137132255.045
2020-12-05,137132255.045
2020-12-04,149512250.292
2020-12-03,124752259.798
2020-12-02,144750713.659
2020-12-01,107610727.917
2020-11-30,135399801.27
2020-11-29,134710225.695
2020-11-28,134710225.695
2020-11-27,131211258.794
2020-11-26,135584967.42
