Date,Total_Bitcoins
2021-02-15,18628900.0
2021-02-14,18628025.0
2021-02-13,18626925.0
2021-02-12,18626031.25
2021-02-11,18625318.75
2021-02-10,18624456.25
2021-02-09,18623525.0
2021-02-08,18622406.25
2021-02-07,18621487.5
2021-02-06,18620468.75
2021-02-05,18619512.5
2021-02-04,18618537.5
2021-02-03,18617443.75
2021-02-02,18616831.25
2021-02-01,18615731.25
2021-01-31,18614856.25
2021-01-30,18613981.25
2021-01-29,18613100.0
2021-01-28,18612225.0
2021-01-27,18611350.0
2021-01-26,18610250.0
2021-01-25,18609368.75
2021-01-24,18608487.5
2021-01-23,18607612.5
2021-01-22,18606737.5
2021-01-21,18605862.5
2021-01-20,18604981.25
2021-01-19,18604106.25
2021-01-18,18603225.0
2021-01-17,18602350.0
2021-01-16,18601462.5
2021-01-15,18600356.25
2021-01-14,18599481.25
2021-01-13,18598606.25
2021-01-12,18597725.0
2021-01-11,18596631.25
2021-01-10,18595756.25
2021-01-09,18594868.75
2021-01-08,18593993.75
2021-01-07,18592893.75
2021-01-06,18591800.0
2021-01-05,18590706.25
2021-01-04,18589812.5
2021-01-03,18588718.75
2021-01-02,18587837.5
2021-01-01,18586956.25
2020-12-31,18585862.5
2020-12-30,18584756.25
2020-12-29,18583881.25
2020-12-28,18582781.25
2020-12-27,18581906.25
2020-12-26,18581025.0
2020-12-25,18580150.0
2020-12-24,18579275.0
2020-12-23,18578400.0
2020-12-22,18577518.75
2020-12-21,18576637.5
2020-12-20,18575762.5
2020-12-19,18574662.5
2020-12-18,18573787.5
2020-12-17,18572906.25
2020-12-16,18572025.0
2020-12-15,18571143.75
2020-12-14,18570268.75
2020-12-13,18569168.75
2020-12-12,18568506.25
2020-12-11,18567625.0
2020-12-10,18566743.75
2020-12-09,18565868.75
2020-12-08,18564981.25
2020-12-07,18564106.25
2020-12-06,18563231.25
2020-12-05,18562350.0
2020-12-04,18561475.0
2020-12-03,18560381.25
2020-12-02,18559500.0
2020-12-01,18558625.0
2020-11-30,18557968.75
2020-11-29,18557081.25
2020-11-28,18555987.5
2020-11-27,18555106.25
2020-11-26,18554225.0
2020-11-25,18553131.25
2020-11-24,18552256.25
2020-11-23,18551381.25
2020-11-22,18550281.25
2020-11-21,18549187.5
2020-11-20,18548093.75
2020-11-19,18547437.5
2020-11-18,18546331.25
2020-11-17,18545237.5
2020-11-16,18544362.5
2020-11-15,18543268.75
2020-11-14,18542375.0
2020-11-13,18541718.75
2020-11-12,18540618.75
2020-11-11,18539743.75
2020-11-10,18538868.75
