Month,Interest
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,2
2016-02,3
2016-03,4
2016-04,3
2016-05,4
2016-06,5
2016-07,4
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,2
2017-01,3
2017-02,3
2017-03,9
2017-04,7
2017-05,24
2017-06,51
2017-07,32
2017-08,27
2017-09,24
2017-10,22
2017-11,38
2017-12,72
2018-01,69
2018-02,34
2018-03,23
2018-04,18
2018-05,18
2018-06,14
2018-07,12
2018-08,13
2018-09,13
2018-10,9
2018-11,10
2018-12,10
2019-01,10
2019-02,9
2019-03,7
2019-04,9
2019-05,12
2019-06,12
2019-07,15
2019-08,8
2019-09,8
2019-10,7
2019-11,7
2019-12,7
2020-01,8
2020-02,14
2020-03,11
2020-04,12
2020-05,13
2020-06,13
2020-07,18
2020-08,25
2020-09,18
2020-10,13
2020-11,23
2020-12,29
2021-01,86
2021-02,100
